,0
0,55.0
1,82.0
2,82.0
3,82.0
4,82.0
5,82.0
6,82.0
7,82.0
8,82.0
9,82.0
10,82.0
11,82.0
12,82.0
13,82.0
14,110.0
15,110.0
16,110.0
17,110.0
18,110.0
19,82.0
20,82.0
21,82.0
22,82.0
23,82.0
24,82.0
25,82.0
26,82.0
27,82.0
28,82.0
29,55.0
30,82.0
31,110.0
32,110.0
33,110.0
34,110.0
35,110.0
36,82.0
37,82.0
38,82.0
39,82.0
40,55.0
41,82.0
42,82.0
43,82.0
44,82.0
45,82.0
46,82.0
47,82.0
48,82.0
49,82.0
50,82.0
51,55.0
52,55.0
53,55.0
54,55.0
55,55.0
56,55.0
57,55.0
58,55.0
59,55.0
60,55.0
61,82.0
62,82.0
63,55.0
64,55.0
65,55.0
66,55.0
67,55.0
68,55.0
69,55.0
70,55.0
71,55.0
72,55.0
73,27.0
74,0.0
75,0.0
76,0.0
77,0.0
78,27.0
79,27.0
80,27.0
81,27.0
82,0.0
83,27.0
84,27.0
85,27.0
86,27.0
87,27.0
88,27.0
89,27.0
90,27.0
91,0.0
92,0.0
93,0.0
94,0.0
95,27.0
96,27.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,-28.0
106,-28.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,27.0
118,27.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,-28.0
129,-28.0
130,-28.0
131,-56.0
132,-28.0
133,-28.0
134,-28.0
135,-28.0
136,-28.0
137,-56.0
138,-56.0
139,-56.0
140,-56.0
141,-56.0
142,-56.0
143,-56.0
144,-56.0
145,-56.0
146,-56.0
147,-56.0
148,-83.0
149,-56.0
150,-28.0
151,-28.0
152,-28.0
153,-28.0
154,-56.0
155,-56.0
156,-56.0
157,-56.0
158,-56.0
159,-56.0
160,-56.0
161,-56.0
162,-56.0
163,-56.0
164,-56.0
165,-83.0
166,-83.0
167,-83.0
168,-83.0
169,-83.0
170,-83.0
171,-83.0
172,-83.0
173,-83.0
174,-83.0
175,-56.0
176,-56.0
177,-83.0
178,-83.0
179,-83.0
180,-83.0
181,-83.0
182,-83.0
183,-83.0
184,-56.0
185,-56.0
186,-56.0
187,-56.0
188,-56.0
189,-56.0
190,-56.0
191,-56.0
192,-56.0
193,-83.0
194,-83.0
195,-83.0
196,-56.0
197,-56.0
198,-56.0
199,-56.0
200,-56.0
201,-56.0
202,-56.0
203,-56.0
204,-28.0
205,-28.0
206,-28.0
207,-28.0
208,-56.0
209,-56.0
210,-28.0
211,-28.0
212,-56.0
213,-56.0
214,-56.0
215,-56.0
216,-56.0
217,-56.0
218,-56.0
219,-56.0
220,-56.0
221,-56.0
222,-56.0
223,-56.0
224,-56.0
225,-28.0
226,-56.0
227,-56.0
228,-28.0
229,-56.0
230,-56.0
231,-83.0
232,-56.0
233,-56.0
234,-56.0
235,-56.0
236,-56.0
237,-56.0
238,-56.0
239,-56.0
240,-56.0
241,-56.0
242,-56.0
243,-56.0
244,-56.0
245,-56.0
246,-28.0
247,-56.0
248,-56.0
249,-56.0
250,-56.0
251,-56.0
252,-28.0
253,-56.0
254,-56.0
255,-56.0
256,-56.0
257,-56.0
258,-28.0
259,-28.0
260,-28.0
261,-28.0
